mmdd,prophecy,data_notes,style
04-01,"Before it ends, the water shall breathe deeply and freely even as the reservoir shall run spare and uncomplicated. Heed it.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
04-02,"Today, the water grows murky with possibility elsewhere the phosphorus has retreated. Plan around it.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
04-02,"In the hours ahead, the reservoirs will be alive with oxygen today as a rare quiet shall settle over the pavement.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
04-03,"Be advised: the plankton multiply and do not explain themselves though the reservoirs run cold, as if to make a point.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
04-03,The city will wear its wounds openly yet the deep water will offer no warmth today.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
04-04,"Know this: the reservoirs breathe very deeply today though the reservoirs run cold, as if to make a point.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
04-04,"When the time comes, the water shall breathe deeply and freely and yet the reservoirs shall run cold and still.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
04-05,"Be advised: the reservoir has taken a strong chemical stance elsewhere the reservoir achieves, briefly, innocence.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very Low",irreverent
04-05,Something feral shall break through the ordinary though the reservoirs shall run cold and still. So it shall be.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
04-06,"Know this: dogs act with tremendous conviction while something has been cleaned up, for now.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
04-06,"On this day, teeth shall find their mark before the day ends though the city will present a cleaner face to the world.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
04-07,"Be advised: the roads are questioning their choices elsewhere dogs are, mysteriously, calm. Or don't.","• Number of street condition complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
04-07,"On this day, the streets will show their wear while the animals will watch from a careful distance.","• Number of street condition complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
04-08,"On this day, the reservoirs breathe very deeply today at the same time the reservoir achieves near-perfect balance, briefly. Proceed accordingly.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
04-08,"When the time comes, the roads will bear witness to their own exhaustion even as the water will ask nothing of those who drink it.","• Number of street condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
04-09,"The law has a very full calendar yet the water chills, privately. Or don't.","• Number of NYPD arrests: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
04-09,The reservoir shall be heavy with what accumulates yet the reservoirs shall run cold and still.,"• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
04-10,"Infrastructure voices its grievances loudly elsewhere the water chills, privately.","• Number of street condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
04-10,Teeth shall find their mark before the day ends even as the deep water will offer no warmth today.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
04-11,"Today, the streets give up in several places at once and yet an unusual quiet descends on the streets. Or don't.","• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
04-11,The reservoirs will be alive with oxygen today while warmth will ask nothing of anyone today.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
04-12,Infrastructure voices its grievances loudly yet the pipes have made peace with the cold. Plan around it.,"• Number of street condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
04-12,The earth beneath the city shall demand attention as the cold will come and go uncontested. So it shall be.,"• Number of street condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
04-13,"Today, dogs are not playing around and somehow the grime has retreated to consider its options.","• Number of dog bite incidents reported to DOHMH: High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
04-13,"In the hours ahead, the animals will make themselves known even as what gathers in shadows shall remain there today. Take shelter or take heed.","• Number of dog bite incidents reported to DOHMH: High
• Number of unsanitary condition complaints to 311: Very Low",poetic
04-14,Be advised: the boats are busy crossing things at the same time the grime has retreated to consider its options. Take note.,"• Number of NYC Ferry boardings: High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
04-14,"On this day, the harbor shall be busy with crossing while the city will present a cleaner face to the world.","• Number of NYC Ferry boardings: High
• Number of unsanitary condition complaints to 311: Very Low",poetic
04-15,"Be advised: the plankton multiply and do not explain themselves, the reservoir has taken a strong chemical stance. Proceed accordingly.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High",irreverent
04-15,"When the time comes, the smallest lives shall multiply beyond counting, the water will tip toward one extreme and linger there.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High",poetic
04-16,"Visibility in the deep is very much not happening meanwhile the reservoirs run cold, as if to make a point.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
04-16,The roads will bear witness to their own exhaustion while the reservoirs shall run cold and still. So it shall be.,"• Number of street condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
04-17,"The reservoirs breathe very deeply today elsewhere the reservoir achieves near-perfect balance, briefly. Take note.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
04-17,The earth beneath the city shall demand attention while the water will ask nothing of those who drink it. Let this be known.,"• Number of street condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
04-18,The pavement cracks under the weight of its own feelings meanwhile the pH is suspiciously neutral.,"• Number of street condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
04-18,The reservoirs will be alive with oxygen today while the deep water will offer no warmth today. Let this be known.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
04-19,"Be advised: the roads are questioning their choices yet dogs are, mysteriously, calm.","• Number of street condition complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
04-19,The pavement shall speak of time yet the animals will watch from a careful distance. Take shelter or take heed.,"• Number of street condition complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
04-20,Mark it: the boats carry multitudes and ask no questions while justice takes the day off. Proceed accordingly.,"• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low",irreverent
04-20,"In the hours ahead, the boats will bear the weight of a city in motion yet the law shall rest its hand upon no one. Take shelter or take heed.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low",poetic
04-21,The streets hold on though justice takes the day off. Plan around it.,"• Number of street condition complaints to 311: Medium
• Number of NYPD arrests: Very Low",irreverent
04-21,"The roads will hold, more or less even as the law shall rest its hand upon no one.","• Number of street condition complaints to 311: Medium
• Number of NYPD arrests: Very Low",poetic
04-22,"The streets give up in several places at once yet the reservoir achieves near-perfect balance, briefly.","• Number of street condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
04-22,The water shall breathe deeply and freely even as justice will pass through like a shadow. Take shelter or take heed.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of NYPD arrests: Very Low",poetic
04-23,"Be advised: the streets give up in several places at once and somehow the reservoirs run cold, as if to make a point. Plan around it.","• Number of street condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
04-23,"In the hours ahead, the ground itself shall register its complaint even as the deep water will offer no warmth today. Heed it.","• Number of street condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
04-24,"The roads are questioning their choices at the same time the water chills, privately.","• Number of street condition complaints to 311: High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
04-24,"When the time comes, the pavement shall speak of time while the reservoirs shall run cold and still. Let this be known.","• Number of street condition complaints to 311: High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
04-25,"Dogs act with tremendous conviction, the harbor is overwhelmed with purpose. Plan around it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYC Ferry boardings: Very High",irreverent
04-25,"In the hours ahead, the boundary between human and animal will be tested, the boats will bear the weight of a city in motion. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYC Ferry boardings: Very High",poetic
04-26,The ferries run full though the block is not particularly bothered. Take note.,"• Number of NYC Ferry boardings: High
• Number of street and sidewalk noise complaints to 311: Low",irreverent
04-26,"Before it ends, many will take to the water and yet the streets will speak softly, if at all.","• Number of NYC Ferry boardings: High
• Number of street and sidewalk noise complaints to 311: Low",poetic
04-27,Know this: the boats are busy crossing things and yet the grime has retreated to consider its options. Or don't.,"• Number of NYC Ferry boardings: High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
04-27,The harbor shall be busy with crossing and still the city will present a cleaner face to the world. Let this be known.,"• Number of NYC Ferry boardings: High
• Number of unsanitary condition complaints to 311: Very Low",poetic
04-28,"On this day, the boats carry multitudes and ask no questions elsewhere the grime has retreated to consider its options. Or don't.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
04-28,The waters will carry great multitudes across though the law shall rest its hand upon no one. Heed it.,"• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low",poetic
04-29,"Know this: infrastructure voices its grievances loudly and yet no one is getting caught, which feels suspicious. Take note.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
04-29,"In the hours ahead, many will arrive at the threshold of need though justice will pass through like a shadow. So it shall be.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of NYPD arrests: Very Low",poetic
04-30,Infrastructure voices its grievances loudly and somehow teeth make no commitments today.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
04-30,"Before it ends, the roads will bear witness to their own exhaustion and yet no fang shall find purchase today.","• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
05-01,"The water is unusually full of itself while the water reveals its depths and they are fine, apparently. Plan around it.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",irreverent
05-01,The earth beneath the city shall demand attention and still the water will run clear and transparent. Take shelter or take heed.,"• Number of street condition complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
05-02,"Today, the reservoir has taken a strong chemical stance, teeth find purpose today.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very High",irreverent
05-02,"In the hours ahead, the reservoir's chemistry shall declare itself, something feral shall break through the ordinary.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very High",poetic
05-03,"Know this: the reservoirs breathe very deeply today, dogs make their feelings known physically. Or don't.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very High",irreverent
05-03,"The reservoirs will be alive with oxygen today, teeth shall find their mark before the day ends.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very High",poetic
05-04,Dogs act with tremendous conviction meanwhile the cops are looking elsewhere. Or don't.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYPD arrests: Very Low",irreverent
05-04,Teeth shall find their mark before the day ends while the roads shall carry all things without complaint. Heed it.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low",poetic
05-05,Be advised: the heat does what it can at the same time the grime has retreated to consider its options. Proceed accordingly.,"• Number of heat and hot water complaints to 311: Medium
• Number of unsanitary condition complaints to 311: Very Low",irreverent
05-05,"Before it ends, the hearth burns neither brightly nor dim yet the city will present a cleaner face to the world. Heed it.","• Number of heat and hot water complaints to 311: Medium
• Number of unsanitary condition complaints to 311: Very Low",poetic
05-06,"Today, the water is unusually full of itself and yet the water reveals its depths and they are fine, apparently. Plan around it.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",irreverent
05-06,The ground itself shall register its complaint even as justice will pass through like a shadow.,"• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very Low",poetic
05-07,Mark it: noise achieves a kind of transcendence and yet the reservoir runs thin on nutrients. Take note.,"• Number of street and sidewalk noise complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
05-07,Many shall cross the harbor before day's end yet the reservoir will be sparse and still. Take shelter or take heed.,"• Number of NYC Ferry boardings: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",poetic
05-08,"The streets give up in several places at once, the handcuffs find their purpose. You have been warned.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very High",irreverent
05-08,"The earth beneath the city shall demand attention, the long arm will reach further than expected today. Let this be known.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very High",poetic
05-09,"Know this: someone is definitely getting caught while the water chills, privately. Or don't.","• Number of NYPD arrests: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
05-09,"When the time comes, reckoning shall find those it seeks and yet the reservoirs shall run cold and still.","• Number of NYPD arrests: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
05-10,"Today, the reservoir has taken a strong chemical stance elsewhere the ferries idle with dignity.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
05-10,Something feral shall break through the ordinary while the boats shall cross nearly empty. Let this be known.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYC Ferry boardings: Very Low",poetic
05-11,"The ferries are stuffed with something — ambition, probably yet the dogs observe without incident. Plan around it.","• Number of NYC Ferry boardings: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
05-11,"In the hours ahead, the boats will bear the weight of a city in motion while the beasts of the city shall stay their hand.","• Number of NYC Ferry boardings: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
05-12,Know this: the pipes are ambivalent though justice takes the day off. Take note.,"• Number of heat and hot water complaints to 311: Medium
• Number of NYPD arrests: Very Low",irreverent
05-12,"Before it ends, the hearth burns neither brightly nor dim and yet the law shall rest its hand upon no one.","• Number of heat and hot water complaints to 311: Medium
• Number of NYPD arrests: Very Low",poetic
05-13,"Today, the streets give up in several places at once at the same time dogs are, mysteriously, calm. Take note.","• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
05-13,"In the hours ahead, life will assert itself in the dark water and still the beasts of the city shall stay their hand. So it shall be.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
05-14,"Be advised: nitrogen accumulates in the depths with great enthusiasm, infrastructure voices its grievances loudly. Or don't.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of street condition complaints to 311: Very High",irreverent
05-14,"On this day, the reservoir shall be heavy with what accumulates, the roads will bear witness to their own exhaustion. Heed it.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of street condition complaints to 311: Very High",poetic
05-15,Know this: the plankton multiply and do not explain themselves and somehow teeth make no commitments today.,"• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
05-15,"Before it ends, the reservoir shall be heavy with what accumulates and yet the beasts of the city shall stay their hand. Take shelter or take heed.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
05-16,"On this day, the reservoir has taken a strong chemical stance, someone is definitely getting caught. Or don't.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of NYPD arrests: Very High",irreverent
05-16,"The water will tip toward one extreme and linger there, the long arm will reach further than expected today.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of NYPD arrests: Very High",poetic
05-17,"Mark it: the water is unusually full of itself yet the water reveals its depths and they are fine, apparently. Plan around it.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",irreverent
05-17,The water shall breathe deeply and freely and yet the reservoir shall hide nothing today.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
05-18,"Dogs make their feelings known physically and somehow something has been cleaned up, for now. Take note.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
05-18,"Before it ends, something feral shall break through the ordinary even as the reservoir shall hide nothing today.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
05-19,"The streets open their throats and do not close them while the streets are, briefly, clean.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
05-19,"In the hours ahead, the waters will carry great multitudes across yet the city will present a cleaner face to the world. Let this be known.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
05-20,"On this day, the streets are in a mood though the reservoirs cool.","• Number of street condition complaints to 311: High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low",irreverent
05-20,"When the time comes, the streets will show their wear while the water will run cool and even. Heed it.","• Number of street condition complaints to 311: High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low",poetic
05-21,The water is unusually full of itself though the reservoir runs thin on nutrients.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
05-21,"On this day, the ground itself shall register its complaint yet the water shall offer little to feed upon.","• Number of street condition complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",poetic
05-22,"The pavement cracks under the weight of its own feelings, someone is definitely getting caught.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very High",irreverent
05-22,"The ground itself shall register its complaint, the law will move swiftly and with purpose. Take shelter or take heed.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very High",poetic
05-23,Infrastructure voices its grievances loudly at the same time heat arrives in name only.,"• Number of street condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
05-23,"In the hours ahead, the ground itself shall register its complaint and yet the cold will come and go uncontested.","• Number of street condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
05-24,The water's pH is making choices and somehow the boilers contemplate silence.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
05-24,The reservoir's chemistry shall declare itself and yet the walls shall hold their peace.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
05-25,"The harbor is overwhelmed with purpose yet something has been cleaned up, for now. You have been warned.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
05-25,"When the time comes, many shall cross the harbor before day's end while what gathers in shadows shall remain there today.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
05-26,"Today, the city sings off-key and at full volume yet the roads are, uncharacteristically, fine. You have been warned.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
05-26,"Before it ends, the air shall fill with voices too numerous to name and yet the roads shall carry all things without complaint.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
05-27,"The noise is purposeful if not pleasant elsewhere something has been cleaned up, for now. Proceed accordingly.","• Number of street and sidewalk noise complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
05-27,The streets shall not be quiet yet the city will present a cleaner face to the world. Take shelter or take heed.,"• Number of street and sidewalk noise complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low",poetic
05-28,Infrastructure voices its grievances loudly while the reservoir runs thin on nutrients.,"• Number of street condition complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
05-28,Teeth shall find their mark before the day ends and yet the reservoir will be sparse and still. Heed it.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",poetic
05-29,"Today, the bureaucracy is overwhelmed and soldiering on at the same time the reservoir runs lean and says little. Or don't.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
05-29,Many will arrive at the threshold of need yet the reservoir shall run spare and uncomplicated. Let this be known.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
05-30,"On this day, dogs act with tremendous conviction elsewhere heat arrives in name only. Take note.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
05-30,Teeth shall find their mark before the day ends while the reservoirs shall run cold and still.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
05-31,"Know this: noise achieves a kind of transcendence, dogs act with tremendous conviction. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very High",irreverent
05-31,"On this day, what is felt will be spoken aloud, loudly, the boundary between human and animal will be tested. Let this be known.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very High",poetic
06-01,The city sings off-key and at full volume and yet heat arrives in name only. Or don't.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
06-01,"In the hours ahead, the city will not keep its counsel today even as the walls shall hold their peace.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
06-02,Every dog has a grievance and the nerve to file it and yet the boilers contemplate silence. Plan around it.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
06-02,"In the hours ahead, the streets will overflow with sound and signal yet the cold will come and go uncontested.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
06-03,"The reservoir feeds heavily on itself, the reservoir teems with tiny intentions. You have been warned.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High",irreverent
06-03,"When the time comes, the reservoir shall be heavy with what accumulates, life will assert itself in the dark water.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High",poetic
06-04,The law has a very full calendar though teeth make no commitments today.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
06-04,The city shall be asked to hold more than it expected while no fang shall find purchase today.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
06-05,"On this day, the gutters have given up all pretense, the waiting rooms fill. Proceed accordingly.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",irreverent
06-05,"The city will wear its wounds openly, the shelter of last resort will be sought by many.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",poetic
06-06,The law has a very full calendar and somehow heat arrives in name only.,"• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
06-06,"In the hours ahead, the long arm will reach further than expected today as warmth will ask nothing of anyone today.","• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
06-07,"Dogs make their feelings known physically though the reservoir runs clear, suspiciously so. Or don't.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",irreverent
06-07,"In the hours ahead, many shall cross the harbor before day's end even as the reservoir shall hide nothing today.","• Number of NYC Ferry boardings: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
06-08,"On this day, the block erupts without apology and somehow heat arrives in name only.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
06-08,The boats will bear the weight of a city in motion and yet warmth will ask nothing of anyone today.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
06-09,Be advised: the harbor is overwhelmed with purpose though the grime has retreated to consider its options.,"• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
06-09,"Before it ends, the streets will overflow with sound and signal and yet what gathers in shadows shall remain there today. Take shelter or take heed.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
06-10,The reservoir blooms with a kind of productivity meanwhile the reservoirs barely breathe. Proceed accordingly.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
06-10,"In the hours ahead, the reservoir shall bloom with quiet abundance though the depths shall hold their air tightly.","• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
06-11,"The gutters have given up all pretense, the bureaucracy is overwhelmed and soldiering on. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",irreverent
06-11,"When the time comes, what has been neglected shall make itself known, many will arrive at the threshold of need.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",poetic
06-12,Know this: someone is definitely getting caught and somehow the boilers contemplate silence.,"• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
