prophecy_index,mmdd,prophecy,data_notes
293,04-07,What comes: gentleness will prevail in the places you least expected it. What follows: freedom will be had without effort.,Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Very Low
294,04-07,"When the free will greatly outnumber the held, know also that fewer will wander without shelter.",Number of NYPD arrests: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
295,04-08,"The signs agree: the path will crack and keep its own counsel, and a sharp sourness will color everything that flows.",Number of street condition complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
296,04-08,Sourness will flavor the depths without apology. And beyond that: the waters will hold their cold like a grudge.,Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
297,04-08,"The signs agree: the hidden waters will carry winter still, and the hidden host will peak.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
298,04-09,"Where what was loose will be made tight, there too the ground will rise in its complaints and they will be many.",Number of NYPD arrests: Very High | Number of street condition complaints to 311: Very High
299,04-09,First the road will speak through its fractures; then cold will have reached where it was not invited.,Number of street condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
300,04-09,"Where warmth will not be found in the depths, there too what lies beneath will not be seen.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
301,04-10,First what was loose will be made tight; then the path will crack and keep its own counsel.,Number of NYPD arrests: Very High | Number of street condition complaints to 311: Very High
302,04-10,The earth will not be smooth for those who walk it; cold will have reached where it was not invited.,Number of street condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
303,04-10,What comes: the hidden waters will carry winter still. What follows: what follows at the heel will become the danger.,Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Number of dog bite incidents reported to DOHMH: Very High
304,04-11,The pipes will go cold and say nothing about it. And beyond that: what usually shouts will only stare.,Number of heat/hot water complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
305,04-11,"When a hush will settle where it is not welcome, know also that decay will agree to stay hidden.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
306,04-11,It will be a time when what rots will do so discreetly — and when what lies just beneath the surface will make itself known.,Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very High
307,04-12,"What rots will do so discreetly, even while fire will have forgotten its purpose entirely.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
308,04-12,"The signs agree: decay will agree to stay hidden, and the path will crack and keep its own counsel.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very High
309,04-12,The pavement will have opinions and express them underfoot; something persistent and small will outnumber everything visible.,Number of street condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very High
310,04-13,"Where all warmth will drain out before it can be claimed, there too the unclean will clean itself, briefly.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
311,04-13,It will be a time when filth will stay where it was put — and when the displaced will diminish somewhat.,Number of unsanitary condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
312,04-13,What comes: the displaced will diminish somewhat. What follows: the trusted will become complicated.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of dog bite incidents reported to DOHMH: High
313,04-14,"The machinery of capture will be still, even while heat will withdraw its offer.",Number of heat/hot water complaints to 311: Very Low | Number of NYPD arrests: Very Low
314,04-14,"As the unbound will roam unchecked, so too the underneath will hold its silence.",Number of NYPD arrests: Very Low | Number of unsanitary condition complaints to 311: Very Low
315,04-14,"First the unclean will clean itself, briefly; then fewer will wander without shelter.",Number of unsanitary condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
316,04-15,"When warmth will become an argument no one asked for, know also that the path will crack and keep its own counsel.",Number of heat/hot water complaints to 311: Very High | Number of street condition complaints to 311: Very High
317,04-15,"When what lies just beneath the surface will make itself known, know also that decay will no longer be polite about its presence.",Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very High
318,04-15,"Rot will rise to the surface at last, and yet life too small to witness will be everywhere.",Number of unsanitary condition complaints to 311: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
319,04-16,"The displaced will press forward in great company, and yet the ground itself will rebel.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of street condition complaints to 311: Very High
320,04-16,"Mark it well: what lies just beneath the surface will make itself known, even as capture will come for many who thought themselves beyond it.",Number of street condition complaints to 311: Very High | Number of NYPD arrests: Very High
321,04-16,"The signs agree: the iron will be busy, and the unseen host will withdraw.",Number of NYPD arrests: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
322,04-17,"The signs agree: the ground will rise in its complaints and they will be many, and the depths will be icy in a way that does not invite questions.",Number of street condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
323,04-17,"When the depths will be icy in a way that does not invite questions, know also that the guardian will become the wound.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Number of dog bite incidents reported to DOHMH: Very High
324,04-17,The guardian will become the wound. And beyond that: the bound will outnumber the free.,Number of dog bite incidents reported to DOHMH: Very High | Number of NYPD arrests: Very High
325,04-18,"The signs agree: the road will speak through its fractures, and the current will bite those who drink too deeply.",Number of street condition complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
326,04-18,First what flows will have a sour argument to make; then cold will have reached where it was not invited.,Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
327,04-18,It will be a time when the waters will hold their cold like a grudge — and when what lies below will be briefly and perhaps uncomfortably visible.,Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
328,04-19,It will be a time when gentleness will prevail in the places you least expected it — and when most will stay on their own shore.,Number of dog bite incidents reported to DOHMH: Very Low | Number of NYC Ferry boardings: Low
329,04-19,"The world will speak in undertones, even while most will stay on their own shore.",Number of NYC Ferry boardings: Low | Number of noise (street/sidewalk) complaints to 311: Low
330,04-19,The streets will whisper rather than shout. And beyond that: binding will be common.,Number of noise (street/sidewalk) complaints to 311: Low | Number of NYPD arrests: High
331,04-20,"Mark it well: the underneath will hold its silence, even as the waters will carry abundant passage.",Number of unsanitary condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
332,04-20,First many will choose departure; then no one will be caught who did not already wish it.,Number of NYC Ferry boardings: Very High | Number of NYPD arrests: Very Low
333,04-20,"Where the machinery of capture will be still, there too fewer will wander without shelter.",Number of NYPD arrests: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
334,04-21,"The underneath will hold its silence, and yet what gnaws will gnaw elsewhere.",Number of unsanitary condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
335,04-21,"Mark it well: what gnaws will gnaw elsewhere, even as no one will be caught who did not already wish it.",Number of rodent inspections conducted by NYC: Very Low | Number of NYPD arrests: Very Low
336,04-21,"Fewer will wander without shelter, even while no one will be caught who did not already wish it.",Number of NYPD arrests: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
337,04-22,It will be a time when freedom will be had without effort — and when what lies just beneath the surface will make itself known.,Number of NYPD arrests: Very Low | Number of street condition complaints to 311: Very High
338,04-22,"As the pavement will have opinions and express them underfoot, so too invisible multitudes will thrive beyond reckoning.",Number of street condition complaints to 311: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
339,04-22,"When something will flourish unseen in vast quantity, know also that bitterness will seep from the source.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
340,04-23,"The hidden waters will carry winter still, even while the pavement will have opinions and express them underfoot.",Number of street condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
341,04-23,The hidden waters will carry winter still. And beyond that: a certain sweetness will prevail in hidden currents.,Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: High
342,04-23,"Mark it well: the balance will tip toward the mild and pleasant, even as nourishment will be withheld from the deep.",Daily median water pH (SU) across NYC DEP watershed reservoirs: High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Low
343,04-24,First warmth will not be found in the depths; then the path will have a few things to say.,Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Number of street condition complaints to 311: High
344,04-24,"Mark it well: the ground will show its grievances modestly, even as the loyal will mostly stay loyal.",Number of street condition complaints to 311: High | Number of dog bite incidents reported to DOHMH: Low
345,04-24,"As teeth will remain sheathed for now, so too the world will speak in undertones.",Number of dog bite incidents reported to DOHMH: Low | Number of noise (street/sidewalk) complaints to 311: Low
346,04-25,Something persistent and small will outnumber everything visible. And beyond that: the waters will lean toward the sweetly insistent.,Number of rodent inspections conducted by NYC: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
347,04-25,Sweetness will take an odd and deliberate edge. And beyond that: what was trusted most will prove sharpest.,Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: Very High
348,04-25,"The waters will carry abundant passage, even while the guardian will become the wound.",Number of dog bite incidents reported to DOHMH: Very High | Number of NYC Ferry boardings: Very High
349,04-26,First sound will keep mostly to itself; then crossing will be in fashion.,Number of noise (street/sidewalk) complaints to 311: Low | Number of NYC Ferry boardings: High
350,04-26,"Mark it well: the waters will carry significant traffic, even as the road will demand some attention.",Number of NYC Ferry boardings: High | Number of street condition complaints to 311: High
351,04-26,"When the road will demand some attention, know also that the loyal will mostly stay loyal.",Number of street condition complaints to 311: High | Number of dog bite incidents reported to DOHMH: Low
352,04-27,"The signs agree: decay will remain underground where it belongs, and the earth will keep its surface smooth and say little.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
353,04-27,First the earth will behave impeccably and give nothing away; then fewer will wander without shelter.,Number of street condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
354,04-27,"Many will seek to cross, even while fewer will wander without shelter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of NYC Ferry boardings: High
355,04-28,"The underground will go quiet, even while the clamor will be magnificent and relentless.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very Low
356,04-28,"The gnawing will cease, or near enough, and yet the underneath will hold its silence.",Number of rodent inspections conducted by NYC: Very Low | Number of unsanitary condition complaints to 311: Very Low
357,04-28,"Where what festers will fester quietly and without complaint, there too the ferry will know no rest.",Number of unsanitary condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
358,04-29,"Mark it well: the adrift will vastly outnumber the settled, even as the ground will rise in its complaints and they will be many.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of street condition complaints to 311: Very High
359,04-29,"As the ground itself will rebel, so too capture will be rare.",Number of street condition complaints to 311: Very High | Number of NYPD arrests: Very Low
360,04-29,"When the unbound will roam unchecked, know also that the ferry will know no rest.",Number of NYPD arrests: Very Low | Number of NYC Ferry boardings: Very High
361,04-30,"The underground will thrive without witnesses, even while the earth will not be smooth for those who walk it.",Number of street condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very High
362,04-30,"When what gnaws in darkness will gnaw at great volume, know also that loyalty will keep its teeth to itself.",Number of rodent inspections conducted by NYC: Very High | Number of dog bite incidents reported to DOHMH: Very Low
363,04-30,"The teeth will stay hidden behind the smile, and yet the seeking will be common.",Number of dog bite incidents reported to DOHMH: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
364,05-01,"What lies just beneath the surface will make itself known, even while the bound will outnumber the free.",Number of NYPD arrests: Very High | Number of street condition complaints to 311: Very High
365,05-01,The road will speak through its fractures. And beyond that: the food of darkness will thin.,Number of street condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
366,05-01,"Where what nourishes the hidden will run scarce, there too the depths will be unusually transparent.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
367,05-02,"Where the very ground will be in a difficult mood, there too a strange sweetness will color the current.",Number of street condition complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
368,05-02,The waters will lean toward the sweetly insistent; the invisible will be populous beyond imagining.,Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
369,05-02,Invisible multitudes will thrive beyond reckoning; the guardian will become the wound.,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: Very High
370,05-03,What follows at the heel will become the danger. And beyond that: what flows will have an opinion and make it felt.,Number of dog bite incidents reported to DOHMH: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
371,05-03,"The hidden host will peak, even while the very water will carry its own argument.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
372,05-03,It will be a time when invisible multitudes will thrive beyond reckoning — and when the underground will thrive without witnesses.,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High | Number of rodent inspections conducted by NYC: Very High
373,05-04,"Where what festers will fester quietly and without complaint, there too trust will have an edge to it.",Number of unsanitary condition complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very High
374,05-04,"Where the tame will surprise, there too the ground will hold its tongue entirely.",Number of dog bite incidents reported to DOHMH: Very High | Number of street condition complaints to 311: Very Low
375,05-04,"The signs agree: the earth will behave impeccably and give nothing away, and capture will be rare.",Number of street condition complaints to 311: Very Low | Number of NYPD arrests: Very Low
376,05-05,What festers will fester quietly and without complaint. And beyond that: what gnaws will gnaw elsewhere.,Number of unsanitary condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
377,05-05,"The underground will be emptied of its usual tenants, and yet the waters will wait in near-solitude.",Number of rodent inspections conducted by NYC: Very Low | Number of NYC Ferry boardings: Very Low
378,05-05,What comes: the great waters will go largely uncrossed. What follows: those who bite will choose restraint.,Number of NYC Ferry boardings: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
379,05-06,First no one will be caught who did not already wish it; then the ground will rise in its complaints and they will be many.,Number of NYPD arrests: Very Low | Number of street condition complaints to 311: Very High
380,05-06,It will be a time when the earth underfoot will offer no promises — and when the depths will offer up their secrets without being asked.,Number of street condition complaints to 311: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
381,05-06,"Where the depths will offer up their secrets without being asked, there too the underground will thrive without witnesses.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Number of rodent inspections conducted by NYC: Very High
382,05-07,"The world will speak over itself without pause, even while the path will crack and keep its own counsel.",Number of street condition complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very High
383,05-07,"When the air will thicken with voices that will not be hushed, know also that what feeds in darkness will go hungry.",Number of noise (street/sidewalk) complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
384,05-07,"When deep sustenance will be withheld, know also that the hidden host will peak.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low | Number of rodent inspections conducted by NYC: Very High
385,05-08,The earth underfoot will offer no promises. And beyond that: the hidden host will peak.,Number of street condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very High
386,05-08,What comes: the walls will be inhabited more than expected. What follows: capture will come for many who thought themselves beyond it.,Number of rodent inspections conducted by NYC: Very High | Number of NYPD arrests: Very High
387,05-08,First many will be caught in the ordinary machinery of capture; then the unhoused will press forward in numbers.,Number of NYPD arrests: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
388,05-09,Capture will come for many who thought themselves beyond it. And beyond that: the deep will be frigid beyond expectation.,Number of NYPD arrests: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
389,05-09,It will be a time when warmth will not be found in the depths — and when beneath every floor something will be very busy.,Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Number of rodent inspections conducted by NYC: Very High
390,05-09,What comes: the hidden host will peak. What follows: what could wound will choose not to.,Number of rodent inspections conducted by NYC: Very High | Number of dog bite incidents reported to DOHMH: Very Low
391,05-10,"Mark it well: beneath every floor something will be very busy, even as what flows will have an opinion and make it felt.",Number of rodent inspections conducted by NYC: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
392,05-10,"Where the waters will lean toward the sweetly insistent, there too what follows at the heel will become the danger.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: Very High
393,05-10,"Where loyalty will turn its edge outward, there too the crossing will be empty of purpose.",Number of dog bite incidents reported to DOHMH: Very High | Number of NYC Ferry boardings: Very Low
394,05-11,What comes: decay will remain underground where it belongs. What follows: the crossings will be full and purposeful.,Number of unsanitary condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
395,05-11,"The crossing will see a great traffic of the seeking; the tame will remain tame, against all precedent.",Number of NYC Ferry boardings: Very High | Number of dog bite incidents reported to DOHMH: Very Low
396,05-11,"Where no familiar thing will bite, there too the net will be mostly empty.",Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Low
397,05-12,"Decay will agree to stay hidden, and yet the hidden population will thin considerably.",Number of unsanitary condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
398,05-12,"The underground will go quiet, and yet the iron will rest.",Number of rodent inspections conducted by NYC: Very Low | Number of NYPD arrests: Very Low
399,05-12,First the iron will rest; then most will stay on their own shore.,Number of NYPD arrests: Very Low | Number of NYC Ferry boardings: Low
400,05-13,It will be a time when the ground will rise in its complaints and they will be many — and when no familiar thing will bite.,Number of street condition complaints to 311: Very High | Number of dog bite incidents reported to DOHMH: Very Low
401,05-13,What comes: no familiar thing will bite. What follows: murk will guard its secrets jealously.,Number of dog bite incidents reported to DOHMH: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
402,05-13,"As what lies beneath will not be seen, so too the invisible will be populous beyond imagining.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
403,05-14,"The signs agree: the pavement will have opinions and express them underfoot, and what moves unseen in the walls will have its season.",Number of street condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very High
404,05-14,"The gnawing will be continuous and thorough, and yet freedom will be tested.",Number of rodent inspections conducted by NYC: Very High | Number of NYPD arrests: High
405,05-14,"Binding will be common, and yet what festers will speak up a little.",Number of NYPD arrests: High | Number of unsanitary condition complaints to 311: High
406,05-15,"Mark it well: the road will be honest about its grievances, even as gentleness will prevail in the places you least expected it.",Number of street condition complaints to 311: Very High | Number of dog bite incidents reported to DOHMH: Very Low
407,05-15,"What comes: the tame will remain tame, against all precedent. What follows: invisible multitudes will thrive beyond reckoning.",Number of dog bite incidents reported to DOHMH: Very Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
408,05-15,"Where life too small to witness will be everywhere, there too the streets will whisper rather than shout.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High | Number of noise (street/sidewalk) complaints to 311: Low
409,05-16,"Where what moves unseen in the walls will have its season, there too the current will be persuasive in a chemical way.",Number of rodent inspections conducted by NYC: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
410,05-16,First sweetness will take an odd and deliberate edge; then restraint will be generously applied.,Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Number of NYPD arrests: Very High
411,05-16,"The signs agree: the accounting will be steep, and the ground will show its grievances modestly.",Number of NYPD arrests: Very High | Number of street condition complaints to 311: High
412,05-17,Something persistent and small will outnumber everything visible; what lies below will be briefly and perhaps uncomfortably visible.,Number of rodent inspections conducted by NYC: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
413,05-17,"Warmth will be present, barely, even while the water will betray its contents to anyone who looks.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Number of heat/hot water complaints to 311: Low
414,05-17,"Mark it well: comfort will require effort to locate, even as the streets will have much to say.",Number of heat/hot water complaints to 311: Low | Number of noise (street/sidewalk) complaints to 311: High
415,05-18,"As rot will be on its best behavior, so too the world will speak over itself without pause.",Number of unsanitary condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
416,05-18,"Mark it well: the streets will have things to say and will say them loudly, even as the water will be honest about what it holds.",Number of noise (street/sidewalk) complaints to 311: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
417,05-18,"Mark it well: nothing will be hidden in the depths for once, even as the tame will surprise.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Number of dog bite incidents reported to DOHMH: Very High
418,05-19,It will be a time when what festers will fester quietly and without complaint — and when voices will compound until meaning dissolves into volume.,Number of unsanitary condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
419,05-19,"Voices will compound until meaning dissolves into volume, and yet the underground will go quiet.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very Low
420,05-19,"The gnawing will cease, or near enough, and yet the crossing will see a great traffic of the seeking.",Number of rodent inspections conducted by NYC: Very Low | Number of NYC Ferry boardings: Very High
421,05-20,It will be a time when the seeking will be common — and when fire will hold its tongue.,Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of heat/hot water complaints to 311: Low
422,05-20,"When comfort will require effort to locate, know also that sound will build without becoming deafening.",Number of heat/hot water complaints to 311: Low | Number of noise (street/sidewalk) complaints to 311: High
423,05-20,The world will speak at an above-average pitch; the path will have a few things to say.,Number of noise (street/sidewalk) complaints to 311: High | Number of street condition complaints to 311: High
424,05-21,It will be a time when the pavement will have opinions and express them underfoot — and when the water will turn acid in the telling.,Number of street condition complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
425,05-21,What comes: the water will carry its grievance in solution. What follows: nourishment will not reach the depths.,Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
426,05-21,"The streets will have much to say, even while the deep will go hungry and say nothing of it.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low | Number of noise (street/sidewalk) complaints to 311: High
427,05-22,"As capture will come for many who thought themselves beyond it, so too the road will be honest about its grievances.",Number of NYPD arrests: Very High | Number of street condition complaints to 311: Very High
428,05-22,"When what lies just beneath the surface will make itself known, know also that life too small to witness will be everywhere.",Number of street condition complaints to 311: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
429,05-22,The unseen abundance will be profound; the great crossing will be crowded with souls.,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High | Number of NYC Ferry boardings: Very High
430,05-23,"The very ground will be in a difficult mood, even while what should have burned will merely sit there, cold.",Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Very High
431,05-23,"As the ground will rise in its complaints and they will be many, so too the wandering will be numerous.",Number of street condition complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
432,05-23,"The signs agree: the wandering will be numerous, and the underground will be busy.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of rodent inspections conducted by NYC: High
433,05-24,The walls will have nothing to give by way of warmth. And beyond that: the streets will have things to say and will say them loudly.,Number of heat/hot water complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
434,05-24,It will be a time when sound will swell until the walls lean inward — and when warmth will have seeped to great depth.,Number of noise (street/sidewalk) complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
435,05-24,"Mark it well: something warm stirs in places where warmth was not invited, even as the great crossing will be crowded with souls.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Number of NYC Ferry boardings: Very High
436,05-25,"Mark it well: the streets will have things to say and will say them loudly, even as the crossings will be full and purposeful.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
437,05-25,"As departure will be popular, so too the unclean will clean itself, briefly.",Number of NYC Ferry boardings: Very High | Number of unsanitary condition complaints to 311: Very Low
438,05-25,"Filth will stay where it was put, and yet the path will offer few surprises.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Low
439,05-26,"Every corner will have something urgent to announce, and yet movement between one shore and another will be brisk.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
440,05-26,What comes: the crossing will see a great traffic of the seeking. What follows: roads will be unnervingly obliging.,Number of NYC Ferry boardings: Very High | Number of street condition complaints to 311: Very Low
441,05-26,"Mark it well: the path will cooperate in ways that seem almost suspicious, even as the underground will be emptied of its usual tenants.",Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
442,05-27,First rot will be on its best behavior; then the crossing will be empty of purpose.,Number of unsanitary condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
443,05-27,"The waters will wait in near-solitude, and yet what gnaws will gnaw elsewhere.",Number of NYC Ferry boardings: Very Low | Number of rodent inspections conducted by NYC: Very Low
444,05-27,What usually moves unseen will take its leave. And beyond that: fewer will wander without shelter.,Number of rodent inspections conducted by NYC: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
445,05-28,What comes: the hidden filth will speak and be understood. What follows: the road will be honest about its grievances.,Number of unsanitary condition complaints to 311: Very High | Number of street condition complaints to 311: Very High
446,05-28,"What lies below will carry an unexpected warmth, even while the ground will rise in its complaints and they will be many.",Number of street condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
447,05-28,First the depths will remember heat; then what nourishes the hidden will run scarce.,Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
448,05-29,"The ground itself will rebel, even while the displaced will press forward in great company.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of street condition complaints to 311: Very High
449,05-29,"Decay will no longer be polite about its presence, even while what lies just beneath the surface will make itself known.",Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very High
450,05-29,"Mark it well: what was tolerated in darkness will demand daylight, even as the unseen feast will be well-provisioned.",Number of unsanitary condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
451,05-30,"Where fire will have forgotten its purpose entirely, there too the path will crack and keep its own counsel.",Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Very High
452,05-30,"Where the pavement will have opinions and express them underfoot, there too cold will have reached where it was not invited.",Number of street condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
453,05-30,"Mark it well: the hidden waters will carry winter still, even as something persistent and small will outnumber everything visible.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Number of rodent inspections conducted by NYC: Very High
454,05-31,"As voices will compound until meaning dissolves into volume, so too what moves unseen in the walls will have its season.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very High
455,05-31,First the underground will thrive without witnesses; then the tame will surprise.,Number of rodent inspections conducted by NYC: Very High | Number of dog bite incidents reported to DOHMH: Very High
